id,disease,property,question,answer
216,Glycogen Storage Disease Type I (Von Gierke Disease),hasCausativeGene,Which gene causes Glycogen Storage Disease Type I (Von Gierke Disease)?,G6PC
217,Glycogen Storage Disease Type III (Cori Disease),hasInheritancePattern,What is the inheritance pattern of Glycogen Storage Disease Type III (Cori Disease)?,Autosomal Recessive
218,Glycogen Storage Disease Type III (Cori Disease),treatedWith,How is Glycogen Storage Disease Type III (Cori Disease) treated?,High-Protein Diet
219,Glycogen Storage Disease Type III (Cori Disease),hasDeficientEnzyme,Which enzyme is deficient in Glycogen Storage Disease Type III (Cori Disease)?,Glycogen Debranching Enzyme
220,Glycogen Storage Disease Type III (Cori Disease),hasSymptom,What symptoms are associated with Glycogen Storage Disease Type III (Cori Disease)?,Hepatomegaly; Hypoglycemia
221,Glycogen Storage Disease Type III (Cori Disease),accumulatesMetabolite,Which metabolite accumulates in Glycogen Storage Disease Type III (Cori Disease)?,Limit Dextrin
222,Glycogen Storage Disease Type III (Cori Disease),hasCausativeGene,Which gene causes Glycogen Storage Disease Type III (Cori Disease)?,AGL
223,Glycogen Storage Disease Type V (McArdle Disease),hasInheritancePattern,What is the inheritance pattern of Glycogen Storage Disease Type V (McArdle Disease)?,Autosomal Recessive
224,Glycogen Storage Disease Type V (McArdle Disease),treatedWith,How is Glycogen Storage Disease Type V (McArdle Disease) treated?,Avoidance of Strenuous Exercise
225,Glycogen Storage Disease Type V (McArdle Disease),hasDeficientEnzyme,Which enzyme is deficient in Glycogen Storage Disease Type V (McArdle Disease)?,Myophosphorylase
226,Glycogen Storage Disease Type V (McArdle Disease),hasSymptom,What symptoms are associated with Glycogen Storage Disease Type V (McArdle Disease)?,Exercise Intolerance; Myalgia
227,Glycogen Storage Disease Type V (McArdle Disease),accumulatesMetabolite,Which metabolite accumulates in Glycogen Storage Disease Type V (McArdle Disease)?,Glycogen
228,Glycogen Storage Disease Type V (McArdle Disease),hasCausativeGene,Which gene causes Glycogen Storage Disease Type V (McArdle Disease)?,PYGM
229,Zellweger Syndrome,hasInheritancePattern,What is the inheritance pattern of Zellweger Syndrome?,Autosomal Recessive
230,Zellweger Syndrome,treatedWith,How is Zellweger Syndrome treated?,Supportive Care
231,Zellweger Syndrome,hasDeficientEnzyme,Which enzyme is deficient in Zellweger Syndrome?,Peroxin-1
232,Zellweger Syndrome,hasSymptom,What symptoms are associated with Zellweger Syndrome?,Craniofacial Abnormalities; Hypotonia
233,Zellweger Syndrome,accumulatesMetabolite,Which metabolite accumulates in Zellweger Syndrome?,Very Long-Chain Fatty Acids
234,Zellweger Syndrome,hasCausativeGene,Which gene causes Zellweger Syndrome?,PEX1
235,X-Linked Adrenoleukodystrophy,hasInheritancePattern,What is the inheritance pattern of X-Linked Adrenoleukodystrophy?,X-Linked
236,X-Linked Adrenoleukodystrophy,treatedWith,How is X-Linked Adrenoleukodystrophy treated?,Hematopoietic Stem Cell Transplant
237,X-Linked Adrenoleukodystrophy,hasDeficientEnzyme,Which enzyme is deficient in X-Linked Adrenoleukodystrophy?,ALD Protein
238,X-Linked Adrenoleukodystrophy,hasSymptom,What symptoms are associated with X-Linked Adrenoleukodystrophy?,Adrenal Insufficiency; Demyelination
239,X-Linked Adrenoleukodystrophy,accumulatesMetabolite,Which metabolite accumulates in X-Linked Adrenoleukodystrophy?,Very Long-Chain Fatty Acids
240,X-Linked Adrenoleukodystrophy,hasCausativeGene,Which gene causes X-Linked Adrenoleukodystrophy?,ABCD1
241,Refsum Disease,hasInheritancePattern,What is the inheritance pattern of Refsum Disease?,Autosomal Recessive
242,Refsum Disease,treatedWith,How is Refsum Disease treated?,Dietary Phytanic Acid Restriction
243,Refsum Disease,hasDeficientEnzyme,Which enzyme is deficient in Refsum Disease?,Phytanoyl-CoA Hydroxylase
244,Refsum Disease,hasSymptom,What symptoms are associated with Refsum Disease?,Peripheral Neuropathy; Retinitis Pigmentosa
245,Refsum Disease,accumulatesMetabolite,Which metabolite accumulates in Refsum Disease?,Phytanic Acid
246,Refsum Disease,hasCausativeGene,Which gene causes Refsum Disease?,PHYH
247,Wilson Disease,hasInheritancePattern,What is the inheritance pattern of Wilson Disease?,Autosomal Recessive
248,Wilson Disease,treatedWith,How is Wilson Disease treated?,Penicillamine Therapy
249,Wilson Disease,hasDeficientEnzyme,Which enzyme is deficient in Wilson Disease?,Copper-Transporting ATPase 2
250,Wilson Disease,hasSymptom,What symptoms are associated with Wilson Disease?,Hepatolenticular Degeneration; Kayser-Fleischer Rings
251,Wilson Disease,accumulatesMetabolite,Which metabolite accumulates in Wilson Disease?,Copper
252,Wilson Disease,hasCausativeGene,Which gene causes Wilson Disease?,ATP7B
253,Menkes Disease,hasInheritancePattern,What is the inheritance pattern of Menkes Disease?,X-Linked
254,Menkes Disease,treatedWith,How is Menkes Disease treated?,Copper Histidine Injections
255,Menkes Disease,hasDeficientEnzyme,Which enzyme is deficient in Menkes Disease?,Copper-Transporting ATPase 1
256,Menkes Disease,hasSymptom,What symptoms are associated with Menkes Disease?,Hair Abnormalities; Progressive Neurodegeneration
257,Menkes Disease,accumulatesMetabolite,Which metabolite accumulates in Menkes Disease?,Copper (Deficient)
258,Menkes Disease,hasCausativeGene,Which gene causes Menkes Disease?,ATP7A
259,Hereditary Hemochromatosis,hasInheritancePattern,What is the inheritance pattern of Hereditary Hemochromatosis?,Autosomal Recessive
260,Hereditary Hemochromatosis,treatedWith,How is Hereditary Hemochromatosis treated?,Therapeutic Phlebotomy
261,Hereditary Hemochromatosis,hasDeficientEnzyme,Which enzyme is deficient in Hereditary Hemochromatosis?,HFE Protein
262,Hereditary Hemochromatosis,hasSymptom,What symptoms are associated with Hereditary Hemochromatosis?,Diabetes Mellitus; Liver Cirrhosis
263,Hereditary Hemochromatosis,accumulatesMetabolite,Which metabolite accumulates in Hereditary Hemochromatosis?,Iron
264,Hereditary Hemochromatosis,hasCausativeGene,Which gene causes Hereditary Hemochromatosis?,HFE
265,Biotinidase Deficiency,hasInheritancePattern,What is the inheritance pattern of Biotinidase Deficiency?,Autosomal Recessive
266,Biotinidase Deficiency,treatedWith,How is Biotinidase Deficiency treated?,Biotin Supplementation
267,Biotinidase Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Biotinidase Deficiency?,Biotinidase
268,Biotinidase Deficiency,hasSymptom,What symptoms are associated with Biotinidase Deficiency?,Alopecia; Seizures
269,Biotinidase Deficiency,accumulatesMetabolite,Which metabolite accumulates in Biotinidase Deficiency?,Biotin (Deficient)
270,Biotinidase Deficiency,hasCausativeGene,Which gene causes Biotinidase Deficiency?,BTD
271,Holocarboxylase Synthetase Deficiency,hasInheritancePattern,What is the inheritance pattern of Holocarboxylase Synthetase Deficiency?,Autosomal Recessive
272,Holocarboxylase Synthetase Deficiency,treatedWith,How is Holocarboxylase Synthetase Deficiency treated?,Biotin Supplementation
273,Holocarboxylase Synthetase Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Holocarboxylase Synthetase Deficiency?,Holocarboxylase Synthetase
274,Holocarboxylase Synthetase Deficiency,hasSymptom,What symptoms are associated with Holocarboxylase Synthetase Deficiency?,Seizures; Skin Rash
275,Holocarboxylase Synthetase Deficiency,accumulatesMetabolite,Which metabolite accumulates in Holocarboxylase Synthetase Deficiency?,Mixed Organic Acids
276,Holocarboxylase Synthetase Deficiency,hasCausativeGene,Which gene causes Holocarboxylase Synthetase Deficiency?,HLCS
277,Lesch-Nyhan Syndrome,hasInheritancePattern,What is the inheritance pattern of Lesch-Nyhan Syndrome?,X-Linked
278,Lesch-Nyhan Syndrome,treatedWith,How is Lesch-Nyhan Syndrome treated?,Allopurinol Therapy
279,Lesch-Nyhan Syndrome,hasDeficientEnzyme,Which enzyme is deficient in Lesch-Nyhan Syndrome?,Hypoxanthine-Guanine Phosphoribosyltransferase
280,Lesch-Nyhan Syndrome,hasSymptom,What symptoms are associated with Lesch-Nyhan Syndrome?,Gout; Self-Injurious Behavior
281,Lesch-Nyhan Syndrome,accumulatesMetabolite,Which metabolite accumulates in Lesch-Nyhan Syndrome?,Uric Acid
282,Lesch-Nyhan Syndrome,hasCausativeGene,Which gene causes Lesch-Nyhan Syndrome?,HPRT1
283,Familial Hypercholesterolemia,hasInheritancePattern,What is the inheritance pattern of Familial Hypercholesterolemia?,Autosomal Dominant
284,Familial Hypercholesterolemia,treatedWith,How is Familial Hypercholesterolemia treated?,Statin Therapy
285,Familial Hypercholesterolemia,hasDeficientEnzyme,Which enzyme is deficient in Familial Hypercholesterolemia?,LDL Receptor
286,Familial Hypercholesterolemia,hasSymptom,What symptoms are associated with Familial Hypercholesterolemia?,Early Coronary Artery Disease; Xanthomas
287,Familial Hypercholesterolemia,accumulatesMetabolite,Which metabolite accumulates in Familial Hypercholesterolemia?,LDL Cholesterol
288,Familial Hypercholesterolemia,hasCausativeGene,Which gene causes Familial Hypercholesterolemia?,LDLR
289,Ataxia-Telangiectasia,hasInheritancePattern,What is the inheritance pattern of Ataxia-Telangiectasia?,Autosomal Recessive
290,Ataxia-Telangiectasia,treatedWith,How is Ataxia-Telangiectasia treated?,Supportive Care
291,Ataxia-Telangiectasia,hasDeficientEnzyme,Which enzyme is deficient in Ataxia-Telangiectasia?,ATM Kinase
292,Ataxia-Telangiectasia,hasSymptom,What symptoms are associated with Ataxia-Telangiectasia?,Cerebellar Ataxia; Telangiectasia
293,Ataxia-Telangiectasia,accumulatesMetabolite,Which metabolite accumulates in Ataxia-Telangiectasia?,Impaired DNA-Damage Response Marker
294,Ataxia-Telangiectasia,hasCausativeGene,Which gene causes Ataxia-Telangiectasia?,ATM
295,Cystic Fibrosis,hasInheritancePattern,What is the inheritance pattern of Cystic Fibrosis?,Autosomal Recessive
296,Cystic Fibrosis,treatedWith,How is Cystic Fibrosis treated?,CFTR Modulator Therapy
297,Cystic Fibrosis,hasDeficientEnzyme,Which enzyme is deficient in Cystic Fibrosis?,Cystic Fibrosis Transmembrane Conductance Regulator
298,Cystic Fibrosis,hasSymptom,What symptoms are associated with Cystic Fibrosis?,Chronic Lung Infection; Pancreatic Insufficiency
299,Cystic Fibrosis,accumulatesMetabolite,Which metabolite accumulates in Cystic Fibrosis?,Chloride Ion Transport (Defective)
300,Cystic Fibrosis,hasCausativeGene,Which gene causes Cystic Fibrosis?,CFTR
