id,model,disease,property,question,ground_truth,llm_answer
88,tinyllama,3-Methylcrotonyl-CoA Carboxylase Deficiency,hasSymptom,What symptoms are associated with 3-Methylcrotonyl-CoA Carboxylase Deficiency?,Mild Hypotonia,"3-Methylcrotonyl-CoA carboxylase (MC4) deficiency is a rare inherited disorder characterized by the absence or reduced activity of MC4, which leads to an accumulation of several metabolites, including 3-hydroxybutyrate and acetoacetate. The symptoms associated with this disorder may include:

1. Metabolic Acidosis: In individuals with MC4 deficiency, blood pH is often lower than normal, resulting in metabolic acidosis. This can lead to a range of symptoms, such as weakness, fatigue, and muscle cramps.

2. Renal Dysfunction: Individuals with MC4 deficiency may also experience renal dysfunction due to the accumulation of metabolites in the kidneys. This can lead to a decline in renal function, increased sodium levels in the blood, and other symptoms, such as high blood pressure and salt wasting.

3. Neurological Dysfunction: Individuals with MC4 deficiency may also experience neurological dysfunction, including intellectual disability, developmental delays, seizures, and movement disorders.

Some common symptoms associated with the accumulation of metabolites in the liver include:

1. Lassitude: In individuals with MC4 deficiency, the accumulation of 3-hydroxybutyrate and acetoacetate can lead to a range of symptoms, including fatigue, lethargy, and weakness.

2. Muscle Tone & Fat Distribution: Individuals with MC4 deficiency may also experience muscle tone and fat distribution issues due to the accumulation of metabolites in their muscles and liver tissue.

3. Urinary Tract Dysfunction: Individuals with MC4 deficiency may also experience urinary tract dysfunction, as the accumulation of metabolites can lead to an increased production of urine, increased frequency of urination, and other symptoms related to urinary obstruction."
89,tinyllama,3-Methylcrotonyl-CoA Carboxylase Deficiency,accumulatesMetabolite,Which metabolite accumulates in 3-Methylcrotonyl-CoA Carboxylase Deficiency?,3-Methylcrotonylglycine,"The metabolite which accumulates in 3-Methylbutyryl-CoA Carboxylase (MC4) Deficiency is 2-Methylbutanoyl-CoA. This metabolite is not typically associated with any pathological conditions or tissues, but rather it represents an alternative pathway for carbohydrate and fatty acid biosynthesis."
90,tinyllama,3-Methylcrotonyl-CoA Carboxylase Deficiency,hasCausativeGene,Which gene causes 3-Methylcrotonyl-CoA Carboxylase Deficiency?,MCCC1,"3-Methylcrotonyl-CoA Carboxylase Deficiency (OMFCD) is caused by a mutation in the MTHFR gene. This gene encodes for methylenetriphosphonitrile (MTP) synthase, which is involved in metabolizing homocysteine to methionine. Without sufficient levels of MTP, homocysteine accumulates in the body, leading to a deficiency in methylation-dependent pathways that support cellular homeostasis and neurological health. This can result in various developmental abnormalities, including mental retardation and intellectual disability, as well as neuropsychiatric and physical disorders."
91,tinyllama,Beta-Ketothiolase Deficiency,hasInheritancePattern,What is the inheritance pattern of Beta-Ketothiolase Deficiency?,Autosomal Recessive,"Beta-Ke Totheolase Deficiency (BKTD) is an inherited metabolic disorder that is caused by a mutation in the gene encoding beta-ketoacid dehydrogenase, which is required for the synthesis of the enzyme 2-hydroxybutyrate. BKTD affects multiple organs and tissues, including the brain, heart, pancreas, and bone marrow.

The inheritance pattern of BKTD involves autosomal recessive inheritance, which means that a person with the mutation in the beta-ketoacid dehydrogenase gene will inherit two copies (X and X) of this gene, resulting in two copies of the mutated allele.

This pattern of inheritance can lead to severe symptoms or impairment, depending on the specific mutations present. In individuals with a single copy of the mutation, there is usually mild or no impact on brain function, while in individuals with two copies of the mutation, the resulting phenotype may be more severe and affect multiple organ systems.

Affected individuals may experience symptoms such as intellectual disability, developmental delay, seizures, vision problems, learning difficulties, developmental delays, motor disorders, deafness, hypogonadism, and neuropsychiatric disorders."
92,tinyllama,Beta-Ketothiolase Deficiency,treatedWith,How is Beta-Ketothiolase Deficiency treated?,Protein-Restricted Diet,"Beta-Keothiolase is a rare, inherited disorder caused by a mutation in the KEATTS2 gene, which is located on chromosome 15. It results in deficiencies of several enzymes involved in protein synthesis. The most common form of the disease is called BKA (Beta-Keothiolasis A) and occurs primarily in infants and young children. Treatment for BKA depends on the severity of the deficiency. In some cases, treatment may involve supplementing the child's diet with essential amino acids or proteins, while in others, medication may be prescribed to improve protein metabolism. It is also possible that further genetic tests could help identify the specific mutations and their impact on symptoms. Speaking with your pediatrician or a specialist in pediatrics can provide more information about treatment options."
93,tinyllama,Beta-Ketothiolase Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Beta-Ketothiolase Deficiency?,Beta-Ketothiolase,"The enzyme beta-ketoacid dehydrogenase (BKHD) is deficient in Betaherpesvirus-68 (HSV-68), which is the causative agent of Betta-Keothiolase Deficiency (BKD). This enzyme is essential for metabolizing fatty acids and converting them into energy, making it a critical component in maintaining proper energy levels in a cell. In BKD, deficiencies in BKHD cause decreased production of ATP, which leads to a decrease in cellular energy levels and eventually causes muscle weakness."
94,tinyllama,Beta-Ketothiolase Deficiency,hasSymptom,What symptoms are associated with Beta-Ketothiolase Deficiency?,Episodic Ketoacidosis,"Beta-Ke totheolase deficiency (BKD) is an enzyme deficiency caused by a lack of beta-glucuronidase (BGT), which is responsible for metabolizing certain antibiotics called aminoglycosides. These antibiotics are typically used to treat infections caused by these bacteria, such as gonorrhea and chlamydial infections. BKD can cause a number of symptoms, including:

1. Urinary tract infection (UTI): The presence of BKD is associated with an increased risk of developing UTIs due to the antibiotic's ability to resist the body's natural detoxification system. This resistance can cause bacteria to survive longer, increasing their chances of reproduction and causing an overgrowth of these bacteria in the urinary tract.

2. UTI-associated fever: With BKD, the body may produce more antibodies to fight against the organism causing the UTIs. This can result in a prolonged fever and inflammation, which is characteristic of UTIs caused by aminoglycosides.

3. Kidney failure: In severe cases, BKD can cause kidney damage or failure due to decreased excretion of aminoglycoside antibiotics from the body. This is often associated with a decrease in urine output and increased levels of aminoglycosides in blood.

4. Cardiovascular disease: BKD has been linked to an increased risk of cardiovascular disease, possibly due to the damage caused to blood vessels by aminoglycoside antibiotics. This can include stroke and heart failure.

5. Cognitive deficits: Some studies have suggested that individuals with BKD are at increased risk of developing cognitive impairment, although this has not been widely studied.

6. Mental health issues: The presence of BKD is also associated with an increased risk of mental health problems such as depression and anxiety."
95,tinyllama,Beta-Ketothiolase Deficiency,accumulatesMetabolite,Which metabolite accumulates in Beta-Ketothiolase Deficiency?,2-Methyl-3-Hydroxybutyric Acid,"Beta-Kehothiolase Deficiency (BKD) is an abnormal growth disorder characterized by the lack of beta-ketoglutarate, which is a key intermediate in glycolysis. The metabolite accumulating in BKD is called the ""β-ketoglutarate pool."" This pool of β-ketoglutarate serves as a substrate for the enzyme pyruvate kinase (PDK), which converts β-ketoglutarate into pyruvate. In BKD, the lack of PDK leads to an accumulation of excess β-ketoglutarate in the cell, causing a deficiency in glucose production and eventually leading to malnutrition and other symptoms."
96,tinyllama,Beta-Ketothiolase Deficiency,hasCausativeGene,Which gene causes Beta-Ketothiolase Deficiency?,ACAT1,"Beta-Keothiolase Deficiency is caused by a mutation in the gene KET that codes for ketoconazole. This mutation leads to decreased or absent production of the enzyme, resulting in impaired metabolism and accumulation of Ketoconazole in tissues."
97,tinyllama,Malonic Aciduria,hasInheritancePattern,What is the inheritance pattern of Malonic Aciduria?,Autosomal Recessive,"Malonic aciduria is an inherited disorder characterized by abnormalities in malic enzyme activity. The inheritance pattern for this condition depends on the specific genetic mutation involved. Generally, individuals with this disorder have a dominant or recessive mode of inheritance, where the affected individual has two copies of the mutated allele, while the remaining healthy copy serves as a wild-type allele (also known as null genotype).

Inheriting a dominant mutation means that one copy of the defective gene is enough to cause malonic aciduria. In contrast, an individual with a recessive mode of inheritance only has one normal copy of the mutated gene and requires two copies of the wild-type allele to develop symptoms of malonic aciduria.

If both copies are affected, then the condition will be called Malonic Aciduria Congenital Xystic Fistula due to Cystic Lobular Duct Carcinoma (MATCH). Individuals with this mutation may show signs and symptoms of malonic aciduria at birth or later in life. These signs and symptoms can include seizures, developmental delay, feeding difficulties, and abdominal pain. Treatment for Malonic Aciduria is aimed at reducing the levels of malic enzymes in the bloodstream to prevent further damage to the affected cells."
98,tinyllama,Malonic Aciduria,treatedWith,How is Malonic Aciduria treated?,Low-Fat Diet,"Malonic Aciduria is a rare genetic disorder that causes problems with the production of the enzyme malonyl-CoA in the body. The main symptom of Malonic Aciduria is severe and irreversible kidney failure, which occurs due to impaired glucose metabolism. There are no specific treatments for Malonic Aciduria as the disorder is not well understood and there is currently no cure. Treatment focuses on managing the symptoms of the condition and monitoring the patient's health. Supportive care, including hydration, fluid replacement, nutritional support, and medications to manage pain and other symptoms may be required. In severe cases, patients with Malonic Aciduria may require a kidney transplant or other organ transplants to maintain their health."
99,tinyllama,Malonic Aciduria,hasDeficientEnzyme,Which enzyme is deficient in Malonic Aciduria?,Malonyl-CoA Decarboxylase,"The enzyme deficient in Malonic Aciduria is called malate dehydrogenase (MDH). MDH catalyzes the reverse reaction of the ATP-citrate synthesis pathway, which is responsible for producing glyceraldehyde 3-phosphate from glucose-6-phosphate. In Malonic Aciduria, there is a deficiency in this enzyme, leading to accumulation of malonyl-CoA in the liver and decreased production of glyceraldehyde-3-phosphate, which impairs citrate synthesis and contributes to the symptoms of Malonic Aciduria."
100,tinyllama,Malonic Aciduria,hasSymptom,What symptoms are associated with Malonic Aciduria?,Cardiomyopathy; Developmental Delay,"Malonic Aciduria is a rare genetic disorder characterized by developmental delay, intellectual disability, and intellectual functioning below the expected level for age. The most common symptom of Malonic Aciduria is delayed speech, which can cause difficulty in understanding words or sentences. Delayed motor skills such as walking, sitting up, and standing may also occur due to poor muscle coordination. The disorder often affects both boys and girls equally. Some other associated symptoms of Malonic Aciduria include:

1. Intellectual functioning below the expected level for age (<20 IQ points): This can cause social isolation, difficulty in interacting with others, and poor academic performance.

2. Delayed speech: Affected individuals may have difficulty understanding speech due to a slower rate of speech production or no speech at all.

3. Developmental delay: Delayed physical and cognitive development can affect the individual's quality of life and future prospects.

4. Intellectual functioning below the expected level for age (<20 IQ points): This can cause social isolation, difficulty in interacting with others, and poor academic performance.

5. Delayed motor skills: Affected individuals may have difficulties walking, sitting up, or standing, which leads to a decrease in mobility, decreased physical functioning, and developmental delay."
101,tinyllama,Malonic Aciduria,accumulatesMetabolite,Which metabolite accumulates in Malonic Aciduria?,Malonic Acid,"The metabolite of malonic aciduria is not known, but it usually refers to the accumulation of an abnormal metabolic molecule or compound in human cells or tissues. In general, abnormalities in metabolism can lead to the accumulation of toxic substances and their deposition in the body, which can cause various diseases or conditions."
102,tinyllama,Malonic Aciduria,hasCausativeGene,Which gene causes Malonic Aciduria?,MLYCD,"Malonic Aciduria (MA) is caused by mutations in the ALG13 gene, which leads to an accumulation of the amino acid malonyl-CoA (MC), a byproduct of the glycolysis process. This accumulation leads to neurological and developmental abnormalities, including intellectual disability, cognitive decline, speech difficulties, seizures, and muscle weakness, affecting both genders equally. The specific mutations that cause MA can vary by patient, and it's not possible for an AI to determine a specific genetic cause based solely on the information provided in the question. However, knowing that malonyl-CoA accumulation is a hallmark of MA may help researchers better understand the underlying biological mechanisms and develop targeted therapies for this condition."
103,tinyllama,Ornithine Transcarbamylase Deficiency,hasInheritancePattern,What is the inheritance pattern of Ornithine Transcarbamylase Deficiency?,X-Linked,"Ornithinane transcarbonate deficiency (OTD) is an inherited disorder characterized by a deficiency in ornithine carbamyltransferase enzyme, which can lead to severe metabolic abnormalities. The inheritance pattern of OTD is autosomal recessive, meaning that each copy of the faulty gene is sufficient to cause disease symptoms.

The symptoms of OTD typically appear in the first months or years of life, and include developmental delays, impaired growth and development, hypotonia (low muscle tone), seizures, and hyperammonemia (high levels of ammonia in the blood). The severity of these symptoms can vary widely among individuals with OTD.

Treatment for Ornithinane transcarbonate deficiency usually involves infusion of a specific type of human serum as a replacement therapy to replenish the body's own reserves of ornithine, which is the amino acid that the affected enzyme utilizes for its function. Other treatment options may include special diets and medications that target specific symptoms."
104,tinyllama,Ornithine Transcarbamylase Deficiency,treatedWith,How is Ornithine Transcarbamylase Deficiency treated?,Protein-Restricted Diet,"Ornithinane, also known as TranscarbaMYLASE (TCA), is a new drug being developed by a team at the University of Maryland that is designed to treat a rare genetic disease called deficiency of Ornithine Transcarbamylase 2 (OTC2). OTC2 is important for the production of amino acids, which are crucial for cellular function and growth. A deficiency in this enzyme can result in severe neurological symptoms that include seizures, behavioral changes, impaired motor control, and loss of limb movement.

To date, there has been limited success in treating OTC2 deficiencies with currently available therapies, including medications aimed at blocking amino acid uptake or bypassing the defective enzyme. Ornithinane is a novel compound that specifically targets the enzyme and has shown promising preclinical results in animal models of the disease. It is being developed as a potential treatment for patients with OTC2 deficiencies, who currently have no approved therapies available.

The development of Ornithinane is part of a larger effort to find treatments for rare genetic diseases that affect a small proportion of the population. By identifying and developing new therapies, researchers hope to improve the lives of patients with devastating genetic disorders like OTC2 deficiencies."
105,tinyllama,Ornithine Transcarbamylase Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Ornithine Transcarbamylase Deficiency?,Ornithine Transcarbamylase,"Ornitrinine transcarbamoylase (OrcTCA), a key enzyme in the biosynthesis of ornithine, is deficient in Ornitheid. Ornitheid is a rare genetic disorder caused by mutations in the ORNT gene, which encodes the Ornitrinine transcarbamoylase enzyme. The ORNT gene plays a crucial role in the synthesis of ornithine, an essential amino acid involved in building proteins and transporting protons across cell membranes."
106,tinyllama,Ornithine Transcarbamylase Deficiency,hasSymptom,What symptoms are associated with Ornithine Transcarbamylase Deficiency?,Hyperammonemia; Vomiting,"Ornithinane is an antineoplastic drug that has been approved by the U.S. Food and Drug Administration (FDA) for the treatment of neuroblastoma, a type of childhood cancer. Ornithinane is typically given as a single dose to infants and children under 16 years old. However, its use in adults has not been approved by the FDA.

If given intravenously as a single dose, Ornithinane can cause severe and sometimes life-threatening side effects such as low blood pressure (hypotension), decreased heart rate, seizures, hypoglycemia, respiratory arrest, and coma.

Additionally, the drug may cause neurological damage, including movement disorders like ataxia or dystonia, seizure disorders such as generalized seizures or status epilepticus, and visual disturbances such as tunnel vision or blurred vision.

Ornithinane is also associated with an increased risk of death in adults who receive the drug for a longer period of time than recommended by the FDA. This risk increases significantly when patients are given the drug more frequently over extended periods, and can range from a 3-fold increase in mortality to a 750-fold increase in mortality."
107,tinyllama,Ornithine Transcarbamylase Deficiency,accumulatesMetabolite,Which metabolite accumulates in Ornithine Transcarbamylase Deficiency?,Orotic Acid,"Ornithinine, the main target of the disease caused by the species Ornithinidae, is the most common species to accumulate in the cells of a fruit fly undergoing deleterious environmental stress. The specific species or strain of transcarbonate-accumulating yeast can vary between different species of flies, but commonly, Ornithinine accumulates in the cellular structures called nucleocytes (which are involved in DNA replication and storage), which have previously been shown to be an essential component for the viability and growth of fruit flies under deleterious environmental stress."
108,tinyllama,Ornithine Transcarbamylase Deficiency,hasCausativeGene,Which gene causes Ornithine Transcarbamylase Deficiency?,OTC,"Ornithinane (also known as OTN) is a gene that deficient in orphanodisorders, specifically Ornitinene Transcarbazole Deficiency. It has been identified as the causative gene for this rare genetic disorder."
109,tinyllama,Carbamoyl Phosphate Synthetase I Deficiency,hasInheritancePattern,What is the inheritance pattern of Carbamoyl Phosphate Synthetase I Deficiency?,Autosomal Recessive,"The inheritance pattern or gene transfer pattern of Carbaamoyl Phoispata Synthase I Deficiency (also known as Carba-PS) is recessive dominant. This means that for individuals to inherit the mutation from one generation to the next, they must first have inherited it themselves, and then their offspring will also have the mutation. In other words, individuals with a Carba-PS mutation will inherit the trait if they themselves are carriers (have one or more copies of the mutated allele) or if they have an unaffected parent who also carries the mutation.

Therefore, individuals who don't carry the mutation (i.e., do not have one copy or more copies of the mutated allele) will be carriers for Carba-PS and will pass on their inheritance through their offspring. If an individual with the Carba-PS mutation is born to a carrier, their child has a 50% chance of inheriting the mutation from both parents and passing it along to future generations. For more information on gene transfer patterns, you can refer to this article: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4897627/#:%$|$10."
110,tinyllama,Carbamoyl Phosphate Synthetase I Deficiency,treatedWith,How is Carbamoyl Phosphate Synthetase I Deficiency treated?,Protein-Restricted Diet,"CarbaMoyl PhoSPHATe SynThase I (CBSIT) deficiency is a rare disorder that causes an enzyme deficiency leading to abnormal skin growth and other health problems in infants. The exact cause of CBSIT deficiency is not known, but it appears to be inherited due to mutations in the CBSIT gene.

In the treatment of CBSIT deficiency, there are currently no approved therapies available for pediatric use. The most common treatment option is a medical procedure called a liver transplant, which can be performed under general anesthesia to bypass the infected area and destroy any remaining infection or toxic buildup of cells. The transplant may require multiple procedures, depending on the severity of the patient's condition.

Additionally, there are some medications available for CBSIT deficiency that can help manage symptoms such as skin growth and inflammation. These medications include topical corticosteroids (e.g., salicylic acid), systemic antibiotics, and immunosuppressants. The severity of the condition and treatment options will depend on the individual patient's medical history, age, and overall health status."
111,tinyllama,Carbamoyl Phosphate Synthetase I Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Carbamoyl Phosphate Synthetase I Deficiency?,Carbamoyl Phosphate Synthetase I,"Carbaamoyl phosphate synthase I (CPS1), also known as NADH:ubiquinone oxidoreductase, is a enzyme that in humans is encoded by the CPS1 gene. This gene is located on chromosome 3 and encodes a member of the NADH:ubiquinone reductases family. CPS1 is involved in several metabolic processes including cellular respiration, DNA replication, and mitochondrial electron transport. In Carbaamoyl phosphate synthase I Deficiency (CAPS Deficiency), there is a deficiency of CPS1 resulting in the lack of NADH:ubiquinone reductase activity in cells due to a lack of enzyme in the cellular respiratory chain."
112,tinyllama,Carbamoyl Phosphate Synthetase I Deficiency,hasSymptom,What symptoms are associated with Carbamoyl Phosphate Synthetase I Deficiency?,Coma; Hyperammonemia,"Carbaamoyl Phosphate Synthase I (CPSI) deficiency is a rare genetic disorder characterized by a lack of the enzyme CPSI, which is essential for proper biosynthesis of certain neurotransmitters, such as dopamine and serotonin. There are two types of CPSI deficiencies - Menkes disease (monozygotic) and DHODH deficiency.

Here are the possible symptoms associated with CPSI deficiency:

1. Seizures and/or epilepsy: Seizures are a common symptom of CPSI deficiency, and some people may also experience developmental delays or behavioral problems.

2. Movement disorders: CPSI deficiency can result in movement disorders, such as tremors, rigidity, or dystonia.

3. Intellectual disability: Some people with CPSI deficiency may have intellectual disability due to a combination of genetic and environmental factors.

4. Psychiatric problems: Some people with CPSI deficiency experience psychiatric problems such as depression, anxiety, or personality changes.

5. Cognitive impairment: CPSI deficiency can cause cognitive impairments, including memory loss and attention difficulties.

6. Impaired sensory processing: Some people with CPSI deficiency may have difficulty perceiving or interpreting sensory information, which can lead to difficulties in everyday life.

7. Eating disorders: Some people with CPSI deficiency may experience eating disorders due to a combination of genetic and environmental factors."
113,tinyllama,Carbamoyl Phosphate Synthetase I Deficiency,accumulatesMetabolite,Which metabolite accumulates in Carbamoyl Phosphate Synthetase I Deficiency?,Ammonia,"The metabolite accumulating in Carbaamoyl PhoSPhAtE SynTHese I deficiency is a variant of the gene encoding for PhoP. This variant results in reduced PhoP activity, which can affect the growth and survival of Pseudomonas species."
114,tinyllama,Carbamoyl Phosphate Synthetase I Deficiency,hasCausativeGene,Which gene causes Carbamoyl Phosphate Synthetase I Deficiency?,CPS1,"Carbaamoyl PhoSPhATe SynThese I deficiency (CPSID) is caused by a mutation in the CPSID1 gene. The CPSID1 gene encodes a protein that catalyzes the formation of phosphopeptide-peptidylethanolamine adducts, which are important for the signaling and metabolic activities of certain proteins involved in lipid metabolism and other cellular processes. In people with CPSID1 mutations, these peptides can accumulate and form toxic complexes that can lead to various clinical manifestations such as mental retardation, muscular dystrophy, and cardiomyopathy, among others."
115,tinyllama,N-Acetylglutamate Synthase Deficiency,hasInheritancePattern,What is the inheritance pattern of N-Acetylglutamate Synthase Deficiency?,Autosomal Recessive,"N-Acetylglutamate Synthaze Deficiency (NGLYD) is an inherited disorder caused by a deficiency in the activity of N-acetyltransferase (NAAT), which catalyzes the transfer of acetyl groups from pyruvate to NADH. The gene for NAAT, known as GUBA2, is located on chromosome 16 and encodes a protein that is required for the activity of NAAT in liver cells.

The deficiency in NAAT leads to an accumulation of acetyl-CoA in the liver, which results in a decrease in NADH production, leading to a decrease in ATP synthesis. As a result, there is a shortage of ATP and other energy-rich molecules for the cells, resulting in muscle weakness, fatigue, and impaired metabolism.

The inheritance pattern of NGLYD is autosomal recessive, meaning that one parent with the deficiency must carry the mutated GUBA2 gene for the disorder to be present. The disease can also cause a decrease in liver function, leading to jaundice and other symptoms that affect the liver's ability to detoxify the body."
116,tinyllama,N-Acetylglutamate Synthase Deficiency,treatedWith,How is N-Acetylglutamate Synthase Deficiency treated?,Carglumic Acid Therapy,"N-Acetylglutamate Synthaze Deficiency, also known as TAZD (Takara Bio LLC), is a rare inherited disorder characterized by low levels of an enzyme called Acetylcholinesterase (AChE). The deficiency in AChE impairs the body's ability to break down certain amino acids, including the amino acid gamma-aminobutyric acid (GABA), which is involved in the regulation of neuromuscular transmission and mood. As a result, individuals with TAZD have symptoms such as impaired cognitive function, behavioral issues, and weakened muscles. Treatment options for TAZD include pharmacological therapy aimed at boosting the levels of AChE or other enzymes involved in GABA breakdown, surgical procedures to address neural pathways involved in regulating neurotransmitters, and gene therapy to replace a missing or mutated form of AChE. Additionally, some individuals may require lifestyle changes such as avoiding caffeine or stimulants, maintaining a healthy weight, and engaging in regular exercise."
117,tinyllama,N-Acetylglutamate Synthase Deficiency,hasDeficientEnzyme,Which enzyme is deficient in N-Acetylglutamate Synthase Deficiency?,N-Acetylglutamate Synthase,"In mammals, the enzyme N-acetylglutaamate synthase (NAGS) is deficient in N-Acetiolglyceroate Synthaze Deficiency. NAGS catalyzes the reaction between N-acetylimidazolidine and 2-deoxy-D-glucose to produce NADP+, ATP, and NADPH. NADPH is essential for many metabolic pathways in cells, including glycolysis, Krebs cycle, and electron transport chain. The deficiency of NAGS results in the accumulation of NADPH, which can cause cellular stress and ultimately lead to various diseases associated with excessive production of N-acetylglutamate (e.g., Fanconi anemia)."
118,tinyllama,N-Acetylglutamate Synthase Deficiency,hasSymptom,What symptoms are associated with N-Acetylglutamate Synthase Deficiency?,Hyperammonemia,"N-Acetylglutaate Synthase Deficiency (NALDS) is a rare disorder characterized by a deficiency in the enzyme that converts n-acetylglutaconamide (NaGLA), a byproduct of glutamine metabolism, into an active form of N-acetylgluctaamide (NALDA) for transport to the liver. This deficiency can lead to a variety of symptoms, including jaundice, abdominal pain, and enlargement of the liver. Other potential complications may include mental retardation, seizures, and behavioral changes. Additionally, NALDS is associated with an increased risk of developing gallstones and liver disease in later life."
119,tinyllama,N-Acetylglutamate Synthase Deficiency,accumulatesMetabolite,Which metabolite accumulates in N-Acetylglutamate Synthase Deficiency?,Ammonia,"According to the given material, the metabolite that accumulates in N-Acetylglutaate synthase deficiency is α-ketoglutarate, which is an intermediate in the metabolism of glucose and is also a byproduct of glycolysis. The enzyme involved in this metabolic process is found on the mitochondrial outer membrane. However, the specific role of this enzyme in N-Acetylglutaate synthase deficiency is not mentioned in the given text."
120,tinyllama,N-Acetylglutamate Synthase Deficiency,hasCausativeGene,Which gene causes N-Acetylglutamate Synthase Deficiency?,NAGS,"N-acetylglutamate synthase deficiency (NAGSD) is caused by mutations in the NAGSD gene, which is located on chromosome 16q24. It affects the ability of cells to produce N-acetylglutamate, a molecule that plays a role in neurotransmitter synthesis and other cellular processes. Without sufficient N-acetylglutamate, neurons may become dysfunctional or even die. The symptoms of NAGSD include seizures, hypokinesia (low muscle movement), mental retardation, and developmental delay. Treatment options for individuals with this condition include therapies that aim to increase N-acetylglutamate production or prevent the buildup of N-acetylglutamate in cells."
121,tinyllama,Medium-Chain Acyl-CoA Dehydrogenase Deficiency,hasInheritancePattern,What is the inheritance pattern of Medium-Chain Acyl-CoA Dehydrogenase Deficiency?,Autosomal Recessive,"Mediated-chain Acyl-CoA Dehydrogenase Deficiency (MCADD) is an autosomal recessive disorder characterized by the absence of functional enzymes for fatty acid beta-oxidation in the mitochondrial electron transport chain. MCADD is caused by mutations in the gene encoding mediated-chain acyl-coa dehydrogenase (MCADD), which leads to a deficiency in the formation of fatty acids needed for energy production by the mitochondria. Inherited from both parents, MCADD can affect infants, children and adults. The inheritance pattern of MCADD is autosomal recessive, meaning that one copies of the mutated gene are sufficient to cause the condition in affected individuals."
122,tinyllama,Medium-Chain Acyl-CoA Dehydrogenase Deficiency,treatedWith,How is Medium-Chain Acyl-CoA Dehydrogenase Deficiency treated?,Avoidance of Fasting,"Mediatech-Chain Acid Dehydogenase (ACD) deficiency is a rare genetic disorder that affects the body's ability to produce energy from fatty acids. There are several treatment options for this condition, which can have varying outcomes depending on the severity and age of the patient.

1. Diet: Patients with ACD deficiency may require a low-fat diet due to a lack of essential fatty acids in the diet. This may cause weight loss or mild weight gain, but some patients may experience energy imbalances.

2. Supplementation: Some individuals with ACD deficiency may be prescribed supplements containing omega-3 fatty acids to help replace lost fatty acids. Omega-3 fatty acids have been shown to improve lipid metabolism in the body and reduce inflammation.

3. Dietary restrictions: Some individuals with ACD deficiency may require a low-fat diet, while others may need to limit their intake of fats or increase their consumption of healthy fats such as polyunsaturated fatty acids.

4. Pharmacological interventions: In some cases, pharmacological interventions like ketogenic diets, which require a low-carbohydrate, high-fat diet, have been used to alleviate symptoms associated with ACD deficiency.

5. Medical therapies: Medical therapies such as bariatric surgery, gastric bypass, or minimally invasive procedures like laparoscopic adjustable gastric banding, may be considered for severe cases of ACD deficiency.

Overall, the treatment of Mediatech-Chain Acid Dehydogenase (ACD) deficiency is typically aimed at improving overall lipid metabolism and reducing inflammation in the body."
123,tinyllama,Medium-Chain Acyl-CoA Dehydrogenase Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Medium-Chain Acyl-CoA Dehydrogenase Deficiency?,Medium-Chain Acyl-CoA Dehydrogenase,"Mediatec, a subtype of a rare autosomal recessive disorder called Mediated Diseases, also known as MedDisease or HJA1094, is characterized by deficiency in Mediun-Chain Acyl-CoA Dehydohgenease (MCADD). MCADD degrades medium-chain acyl-coenzyme A (MCA), which results in deficiency of medium-chain acyl-coenzyme A, leading to the accumulation of acetoacetate and inhibition of carnitine transporter. The condition can cause neurological symptoms such as developmental delay, behavioral abnormalities, seizures, motor disability, and respiratory distress."
124,tinyllama,Medium-Chain Acyl-CoA Dehydrogenase Deficiency,hasSymptom,What symptoms are associated with Medium-Chain Acyl-CoA Dehydrogenase Deficiency?,Hypoketotic Hypoglycemia; Lethargy,"Mediate-chain acetyl-coenzyme A (ACA) dehydrogenase deficiency is a rare, inherited metabolism disorder characterized by decreased activity of the mediate-chain enzyme. The symptoms associated with this condition depend on various factors, including the degree of deficiency and age at onset. In severe cases, a person may experience seizures, developmental delays or intellectual disabilities before adolescence. Other signs and symptoms include weak muscles, low blood sugar levels (hypoglycemia), small facial features, and difficulty swallowing or speaking. Some individuals may also exhibit respiratory problems due to impaired lung function caused by low levels of ACA in the lungs. As a result of these effects, infants may be born with poor developmental outcomes and require specialized care for their first few years of life. In general, an affected individual may experience some combination of fatigue, mood changes, difficulty focusing or concentration, and difficulty regulating blood sugar levels. In more severe cases, ACA deficiency may result in coma or death before adolescence if not treated with intravenous immune globulin (IVIG) therapy. However, IVIG can only be administered to patients who are at least six months old and have reached the age of majority."
125,tinyllama,Medium-Chain Acyl-CoA Dehydrogenase Deficiency,accumulatesMetabolite,Which metabolite accumulates in Medium-Chain Acyl-CoA Dehydrogenase Deficiency?,Medium-Chain Fatty Acids,Mediolite Accumulates in Mediated-Chain Acyl-CoA Dehydoenhydromegenaze Deficiency.
126,tinyllama,Medium-Chain Acyl-CoA Dehydrogenase Deficiency,hasCausativeGene,Which gene causes Medium-Chain Acyl-CoA Dehydrogenase Deficiency?,ACADM,"Mediatec Dextrin-119 is the only gene responsible for Mediated Dextrin-119 Deficiency (MDD). MDD is a rare metabolic disorder that causes an enzyme deficiency. The defective enzyme results in a lack of Dextrin 119, which is a dextrin polymer found in the dietary fiber components of animal and vegetable foods. This lack of Dextrin 119 leads to digestive problems in dogs, cats, and other animals. In humans, MDD has no known symptoms or treatments."
